name ra dec hostra_ghost hostdec_ghost hostra_sherlock hostdec_sherlock transient_sep_ghost sep_L2arcsec_ghost transient_sep_sherlock sep_L2arcsec_sherlock sep_host_ghost_v_sherlock sep_L2arcsec_host_ghost_v_sherlock
2020kfg 193.12117626769606 6.150436526640098 193.1210668 6.1504303 193.1210223 6.1504095 0.3926265 True 0.5596574 True 0.1759428 True
2020kfh 169.666928807991 9.32502928227482 169.6666072 9.3250715 169.6666410 9.3250160 1.1526143 True 1.0235342 True 0.2330786 True
2020kfi 190.248875929215 1.6558501697793282 190.2488680 1.6563405 190.2488542 1.6562986 1.7655976 True 1.6162707 True 0.1590061 True
2020kfj 197.22335320368066 -1.3816624229321153 197.2229675 -1.3812870 197.2229791 -1.3812774 1.9373249 True 1.9323419 True 0.0542509 True
2020kfy 147.435778766919 30.37178769389 147.4358706 30.3719007 147.4358695 30.3718912 0.4968502 True 0.4670973 True 0.0343796 True
2020kgr 194.959691511225 17.9585230231077 194.9596976 17.9584331 194.9596630 17.9584540 0.3243244 True 0.2669783 True 0.1403516 True
2020kim 224.04238803403652 40.420287861119306 224.0426190 40.4203237 224.0425233 40.4201300 0.6461329 True 0.6783792 True 0.7450031 True
2020kiq 185.4845600837616 12.608833739840623 185.4820100 12.6081737 -99.0000000 -99.0000000 9.2687004 False -99.0000000 False -99.0000000 False
2020kir 221.40211003036137 -8.727238564141361 221.4023893 -8.7254327 -99.0000000 -99.0000000 6.5767496 False -99.0000000 False -99.0000000 False
2020kit 200.76769291945413 32.00926410345631 200.7680922 32.0090516 200.7680473 32.0090113 1.4390455 True 1.4135809 True 0.1994263 True
2020kjk 319.518527038091 8.78032971024759 319.5185573 8.7804492 319.5185389 8.7804296 0.4434242 True 0.3620966 True 0.0962261 True
2020kjp 244.0065375 33.4889611111111 244.0061418 33.4889870 244.0061290 33.4890183 1.1916585 True 1.2435976 True 0.1189623 True
2020kld 154.51281213703004 3.2874363457077447 154.5125971 3.2870148 -99.0000000 -99.0000000 1.7028536 True -99.0000000 False -99.0000000 False
2020kmj 188.1748955184436 6.972686502518432 188.1749225 6.9728898 188.1748781 6.9728832 0.7380687 True 0.7109355 True 0.1603270 True
2020kml 225.7741981193029 -2.679657556376927 225.7740567 -2.6805753 225.7740517 -2.6805651 3.3428698 False 3.3094913 False 0.0408113 True
2020kmm 232.58004281718237 -0.19094441657288394 232.5813587 -0.1900340 232.5855417 -0.1900600 5.7603053 False 20.0501592 False 15.0589956 False
2020kmv 186.40697781406703 7.392594866096908 186.4069067 7.3927366 186.4067420 7.3928170 0.5699646 True 1.1611387 True 0.6554662 True
