ztf_object_id,has_tns,tns_cls,spec_z,report_group
ZTF18abwnmdb,No_TNS,None,-99.0,None
ZTF20acctlwm,No_TNS,None,-99.0,None
ZTF18absdgly,No_TNS,None,-99.0,None
ZTF18abokvkt,No_TNS,None,-99.0,None
ZTF18abtlgxe,No_TNS,None,-99.0,None
ZTF18ackmtfg,No_TNS,None,-99.0,None
ZTF18abunojk,No_TNS,None,-99.0,None
ZTF21aaaovuq,Yes_TNS,None,-99.0,ZTF
ZTF18abtxvzd,No_TNS,None,-99.0,None
ZTF18aazwbob,No_TNS,None,-99.0,None
ZTF18abtigie,No_TNS,None,-99.0,None
ZTF21aalxxbf,Yes_TNS,None,-99.0,ALeRCE
ZTF18acnmczb,No_TNS,None,-99.0,None
ZTF19abxvxed,No_TNS,None,-99.0,None
ZTF18aaowhnp,No_TNS,None,-99.0,None
ZTF18abscghc,No_TNS,None,-99.0,None
ZTF18abtotsq,No_TNS,None,-99.0,None
ZTF20acpujhj,No_TNS,None,-99.0,None
ZTF18abugsun,No_TNS,None,-99.0,None
ZTF18acskrcz,No_TNS,None,-99.0,None
ZTF18abykrom,No_TNS,None,-99.0,None
ZTF20acrjjse,Yes_TNS,None,-99.0,ZTF
ZTF18abidvwf,No_TNS,None,-99.0,None
ZTF18aamrnds,No_TNS,None,-99.0,None
ZTF20acocsrh,No_TNS,None,-99.0,None
ZTF18aclobtn,No_TNS,None,-99.0,None
ZTF20abzhvnj,Yes_TNS,SN IIn,0.207,ATLAS
ZTF18acjfgms,No_TNS,None,-99.0,None
ZTF18abwblyl,No_TNS,None,-99.0,None
ZTF18abajonw,No_TNS,None,-99.0,None
ZTF21aamjdbt,No_TNS,None,-99.0,None
ZTF21aacihzk,No_TNS,None,-99.0,None
ZTF18abztcib,Yes_TNS,CV,,ZTF
ZTF21aamftne,No_TNS,None,-99.0,None
ZTF18abhrhjx,No_TNS,None,-99.0,None
ZTF21aamqnol,No_TNS,None,-99.0,None
ZTF19aajwedn,No_TNS,None,-99.0,None
ZTF18abyitrs,No_TNS,None,-99.0,None
ZTF19aasemnp,No_TNS,None,-99.0,None
ZTF20acpxsjf,No_TNS,None,-99.0,None
ZTF21aaabtyq,Yes_TNS,SN Ia,0.051295,ALeRCE
ZTF19aacznmm,No_TNS,None,-99.0,None
ZTF18abgudds,No_TNS,None,-99.0,None
ZTF17aabcdvi,No_TNS,None,-99.0,None
ZTF19aadjvzr,No_TNS,None,-99.0,None
ZTF18abqtmfl,No_TNS,None,-99.0,None
ZTF18abqoyzy,No_TNS,None,-99.0,None
ZTF21aanhvpo,Yes_TNS,SN II,0.0227,ALeRCE
ZTF18abwbigm,No_TNS,None,-99.0,None
ZTF19aabfudf,No_TNS,None,-99.0,None
ZTF20accoccp,Yes_TNS,SN Ic,0.063928,SGLF
ZTF18abqkqdm,Yes_TNS,None,-99.0,SNAD
ZTF18abvkmgw,Yes_TNS,SN Ib,0.03847,ATLAS
ZTF19abljibx,No_TNS,None,-99.0,None
ZTF21aaarquk,Yes_TNS,None,-99.0,ALeRCE
ZTF20aaxnscr,No_TNS,None,-99.0,None
