ztf_object_id,ann=0_tns_cls,ann=1_tns_cls,ann=2_tns_cls,ann=3_tns_cls,ann=4_tns_cls,ann=5_tns_cls,ann=6_tns_cls,ann=7_tns_cls,ann=8_tns_cls,ann=9_tns_cls
ZTF18abwbaos,None,None,None,SN Ia,None,None,None,None,None,None
ZTF18abwgjjd,None,SN Ia,SN Ib,None,None,None,None,None,None,SN Ic
ZTF18abwjsrw,None,None,None,None,None,SN Ia-CSM,None,None,None,None
ZTF18abwluoz,None,None,None,None,None,None,None,None,None,None
ZTF18abwuahw,None,None,SN Ia,None,None,None,None,None,None,SN IIn
ZTF18abwxfau,None,None,None,None,None,None,None,SN Ia,None,SN Ia
ZTF18abwxrhi,None,None,None,None,None,SN Ia,None,None,None,None
ZTF18abwxtsg,None,None,None,None,None,None,None,None,None,SN IIn
ZTF18abwzedh,None,SN II,SN IIP,None,None,None,None,None,SN Ia,None
ZTF18abxbmqh,SLSN-II,SN Ia,None,SN Ia,SN Ia,SN II,None,None,None,None
ZTF18abxbnvq,None,SN Ia,None,None,None,None,None,None,None,None
ZTF18abxezjt,None,None,None,None,None,None,None,None,None,None
ZTF18abxftqm,TDE,None,None,SN Ia,None,SN Ia,None,SN II,None,SN II
ZTF18abxhsyn,SN Ia,None,None,None,None,None,SN Ia,SN Ia,None,None
ZTF18abxmxtq,None,None,SN Ia,None,None,None,None,None,None,None
ZTF18abxobhx,None,None,None,SN Ia,SN II,None,None,SN Ibn,SN Ia,None
ZTF18abxqemv,SN II,SN Ia,None,None,None,SN Ia,None,None,SN Ia,None
ZTF18abxsczd,None,SN IIn,None,None,None,None,None,None,None,None
ZTF18abxusti,None,None,SN Ia,SN Ia,None,None,None,None,SN Ia,SN Ia
ZTF18abxzitr,None,None,None,SN Ia,SN Ia,SN Ia-CSM,None,None,None,None
ZTF18abyadtx,None,None,None,None,None,None,None,SN II,SN Ia,None
ZTF18abyaxyu,None,SN II,None,SN Ia,SN Ia,SN Ia,None,None,None,None
ZTF18abycfpf,None,None,None,None,SN Ia,None,SN Ia,None,SN IIb,None
