,ann=0_ztfid,ann=1_ztfid,ann=2_ztfid,ann=3_ztfid,ann=4_ztfid,ann=5_ztfid,ann=6_ztfid,ann=7_ztfid,ann=8_ztfid,ann=9_ztfid,ann=10_ztfid,ann=0_d,ann=1_d,ann=2_d,ann=3_d,ann=4_d,ann=5_d,ann=6_d,ann=7_d,ann=8_d,ann=9_d,ann=10_d,ann=0_has_tns,ann=1_has_tns,ann=2_has_tns,ann=3_has_tns,ann=4_has_tns,ann=5_has_tns,ann=6_has_tns,ann=7_has_tns,ann=8_has_tns,ann=9_has_tns,ann=10_has_tns,ann=0_tns_cls,ann=1_tns_cls,ann=2_tns_cls,ann=3_tns_cls,ann=4_tns_cls,ann=5_tns_cls,ann=6_tns_cls,ann=7_tns_cls,ann=8_tns_cls,ann=9_tns_cls,ann=10_tns_cls,ann=0_spec_z,ann=1_spec_z,ann=2_spec_z,ann=3_spec_z,ann=4_spec_z,ann=5_spec_z,ann=6_spec_z,ann=7_spec_z,ann=8_spec_z,ann=9_spec_z,ann=10_spec_z
ZTF21aawndsm,ZTF21aawndsm,ZTF20acvziru,ZTF21aazibqb,ZTFabc56040,ZTFabc72505,ZTF18aansqov,ZTF21aautzqm,ZTFabc29590,ZTF21abcovsg,ZTF18acbwabp,ZTF21abclont,0,241.3123,296.1087,322.0104,334.9174,337.3138,350.2512,366.3836,366.4641,369.1769,370.21,Yes_TNS,Yes_TNS,Yes_TNS,Fake,Fake,Yes_TNS,Yes_TNS,Fake,Yes_TNS,Yes_TNS,Yes_TNS,None,None,None,SN Ia,SN Ia,SN Ia,None,SN Ia,None,None,None,-99.0,-99.0,-99.0,-99.0,-99.0,0.07,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21aalpwpr,ZTF21aalpwpr,ZTFabc00590,ZTFabc84224,ZTFabc46299,ZTFabc07602,ZTFabc93658,ZTFabc48773,ZTF20aciidkb,ZTFabc52715,ZTFabc31848,ZTFabc79674,0,251.8161,254.1149,254.8498,260.2869,264.1443,265.663,269.2807,269.7957,271.7578,275.4299,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Yes_TNS,Fake,Fake,Fake,None,SN Ib,SN Ib,SN Ib,SN Ib,SN Ib,SN Ia,SN Ia,SN Ib,SN Ib,SN II,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.12,-99.0,-99.0,-99.0
ZTF21aahrpja,ZTF21aahrpja,ZTF21aaydulk,ZTF21abdcazo,ZTF19aaluacc,ZTFabc90734,ZTFabc18971,ZTFabc29982,ZTFabc56773,ZTFabc71123,ZTFabc94950,ZTFabc32308,0,364.9654,404.4363,432.5348,436.7888,437.7704,458.3006,465.7013,465.8864,467.2336,469.0385,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Fake,None,None,None,None,SN Ic-BL,SN Ic-BL,SN Ic-BL,SN Ic-BL,SN Ic-BL,SN Ic-BL,SN IIn,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF20acgpqqr,ZTF20acgpqqr,ZTF21aahnlgc,ZTFabc32376,ZTF18acmzvqx,ZTFabc87709,ZTFabc10887,ZTFabc32360,ZTFabc12696,ZTFabc48353,ZTFabc43836,ZTFabc54901,0,254.2696,264.0745,274.7935,292.1959,299.5705,302.5623,303.2594,303.3144,303.7499,303.8653,Yes_TNS,Yes_TNS,Fake,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Fake,SN Ia,None,SN II,None,SN II,SN II,SN Ia,SN Ia,SN II,SN II,SN Ia,0.05951,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF18acvgehz,ZTF18acvgehz,ZTF21aajevjg,ZTFabc88592,ZTFabc28438,ZTF21aapvuzq,ZTF21aalveuf,ZTFabc82462,ZTFabc99717,ZTFabc04159,ZTFabc21978,ZTFabc01972,0,224.951,246.3098,247.1738,252.1494,272.3752,278.6899,280.9469,282.8391,284.9716,285.5423,No_TNS,Yes_TNS,Fake,Fake,Yes_TNS,Yes_TNS,Fake,Fake,Fake,Fake,Fake,None,None,SN Ic,SN Ic,None,None,SN IIb,SN IIb,SN IIb,SN Ia,SN Ic,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21aaualej,ZTF21aaualej,ZTF21abcoqqt,ZTF20actslnz,ZTF21aacvmmz,ZTFabc90224,ZTF21abcosna,ZTF21aatjavc,ZTFabc81848,ZTFabc49601,ZTFabc74836,ZTFabc45490,0,289.0136,316.1341,319.2537,332.0049,338.8817,344.3404,345.4152,346.0094,347.9563,348.2393,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Fake,Yes_TNS,Yes_TNS,Fake,Fake,Fake,Fake,None,None,None,None,SN II,None,SN Ia,SN IIb,SN Ia,SN Ia,SN IIb,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.053944,-99.0,-99.0,-99.0,-99.0
ZTF20acwyicy,ZTF20acwyicy,ZTF21aarpnxt,ZTF21aavdnvt,ZTFabc92907,ZTFabc38315,ZTFabc78114,ZTFabc74216,ZTFabc55535,ZTFabc54427,ZTFabc84490,ZTFabc49527,0,192.284,223.309,318.7394,318.831,319.9669,320.066,321.1117,321.7073,321.8666,322.1505,Yes_TNS,No_TNS,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,None,None,None,SN IIP,SN IIP,SN IIP,SN IIP,SN Ic,SN IIP,SN IIP,SN IIP,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF20acxtdlw,ZTF20acxtdlw,ZTF21acgrmpf,ZTF21aafdtir,ZTFabc63984,ZTF21aasyadd,ZTFabc90699,ZTF20acuzoei,ZTF21aagmqic,ZTF21aapkarm,ZTF21abmzzxa,ZTFabc14389,0,286.7656,297.9313,309.0834,317.8005,324.1461,335.6025,364.1021,368.2904,379.6442,383.4962,Yes_TNS,Yes_TNS,Yes_TNS,Fake,Yes_TNS,Fake,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Fake,None,None,None,SN Ia,None,SN Ia,None,SN Ia,None,None,SN Ia,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.055,-99.0,-99.0,-99.0
ZTF20acvagdq,ZTF20acvagdq,ZTF21aapfpod,ZTF20acpeyoo,ZTFabc59837,ZTFabc96534,ZTFabc60201,ZTFabc62097,ZTFabc81124,ZTFabc64743,ZTFabc83470,ZTFabc24571,0,215.7301,242.7102,267.6012,272.7483,275.1912,279.1221,281.6825,281.6849,282.3027,285.8001,Yes_TNS,Yes_TNS,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,SN Ia,SN Ia,None,SN II,SN II,SN II,SN II,SN Ia,SN II,SN Ia,SN II,0.035428,0.061786,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF20actquyv,ZTF20actquyv,ZTF21aabvqed,ZTFabc99855,ZTF20acijssu,ZTF20acpknux,ZTF18aasebwk,ZTFabc69891,ZTFabc32941,ZTF21abybwdz,ZTFabc91738,ZTF19aaapdum,0,328.5647,356.6077,366.4709,389.7771,392.5292,398.0001,399.2081,408.8922,428.5835,430.7896,Yes_TNS,Yes_TNS,Fake,Yes_TNS,Yes_TNS,Yes_TNS,Fake,Fake,Yes_TNS,Fake,No_TNS,None,None,SN Ia,SN Ia,None,None,SN Ia,SN Ia,None,SN Ia,None,-99.0,-99.0,-99.0,0.104,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21aanzmoi,ZTF21aanzmoi,ZTF20acjhmym,ZTFabc24028,ZTFabc71130,ZTFabc93142,ZTFabc50032,ZTF21abcmepi,ZTFabc11312,ZTFabc93952,ZTFabc46584,ZTFabc71869,0,206.6519,252.2428,260.4727,263.6777,264.8014,266.2524,274.1079,292.4341,308.589,312.5395,Yes_TNS,Yes_TNS,Fake,Fake,Fake,Fake,Yes_TNS,Fake,Fake,Fake,Fake,None,None,SN IIn,SN IIn,SN IIn,SN II,SN Ia,SN Ia,SN IIn,SN IIn,SN II,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.089,-99.0,-99.0,-99.0,-99.0
ZTF21aagswze,ZTF21aagswze,ZTFabc74985,ZTFabc27132,ZTFabc69753,ZTF21aakplky,ZTFabc02021,ZTF21aagojfe,ZTF20acgoxns,ZTF20acmvwmw,ZTFabc10978,ZTFabc06963,0,132.4505,144.6526,154.7415,155.3535,157.9312,175.2871,176.8924,176.9976,181.3713,186.4569,Yes_TNS,Fake,Fake,Fake,Yes_TNS,Fake,Yes_TNS,Yes_TNS,Yes_TNS,Fake,Fake,None,SN II,SN II,SN II,None,SN II,SN Ia,SN II,None,SN Ia,SN II,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.026872,0.032,-99.0,-99.0,-99.0
ZTF20aciubfx,ZTF20aciubfx,ZTF21aawkqfb,ZTFabc90540,ZTFabc31670,ZTF21aascgqk,ZTFabc47762,ZTFabc70704,ZTFabc05404,ZTFabc22052,ZTFabc25939,ZTFabc51648,0,252.4616,300.4782,301.6559,322.0531,325.8369,326.2982,328.0271,328.3889,331.8282,333.8374,Yes_TNS,Yes_TNS,Fake,Fake,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,SN II,None,SN II,SN II,None,SN Ia,SN II,SN Ic-BL,SN Ic-BL,SN Ic-BL,SN Ia,0.03107,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21aasafkl,ZTF21aasafkl,ZTFabc31870,ZTF21aarejnt,ZTFabc00041,ZTFabc60503,ZTFabc51678,ZTFabc67214,ZTFabc49441,ZTFabc39315,ZTFabc04417,ZTF20acthdtq,0,159.9189,182.5583,182.6121,188.5678,194.3982,200.2527,200.9537,208.1474,209.603,209.8739,Yes_TNS,Fake,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Fake,No_TNS,SN Ia,SN II,SN Ia,SN Ia,SN II,SN II,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,None,0.075382,-99.0,0.061,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21abboibr,ZTF21abboibr,ZTFabc43440,ZTFabc03173,ZTFabc27104,ZTFabc79453,ZTFabc76208,ZTFabc48083,ZTFabc13345,ZTFabc28115,ZTFabc01310,ZTFabc20591,0,130.0221,152.8577,207.6319,215.0952,251.6496,254.9549,258.7102,260.9631,271.1422,273.301,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,SN Ia,SN II,SN II,SN II,SN II,SN II,SN IIP,SN IIP,SN IIP,SN IIP,SN IIP,0.025,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF18abmofew,ZTF18abmofew,ZTFabc54101,ZTFabc98962,ZTFabc30415,ZTFabc26396,ZTFabc53795,ZTFabc53987,ZTFabc86941,ZTFabc60643,ZTFabc37898,ZTF21aaglgcb,0,233.61,236.0028,238.5558,245.957,246.0718,246.2437,261.005,262.5633,266.9124,269.1884,No_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Yes_TNS,None,SN IIb,SN IIb,SN IIb,SN IIb,SN IIb,SN IIb,SN IIb,SN IIb,SN IIb,SN Ia,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.07
ZTF21aagtrkk,ZTF21aagtrkk,ZTFabc72767,ZTFabc93555,ZTFabc95450,ZTFabc95672,ZTFabc06626,ZTFabc07118,ZTFabc10258,ZTFabc63920,ZTFabc48366,ZTFabc16644,0,202.8392,204.6189,205.1608,206.5865,209.1743,210.612,210.9089,214.5661,217.2751,217.7263,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,None,SN Ic-BL,SN Ic-BL,SN Ic-BL,SN Ic-BL,SN Ic-BL,SN Ic-BL,SN Ic-BL,SN Ic-BL,SN Ic-BL,SN Ic-BL,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF20acumkqn,ZTF20acumkqn,ZTF20acgqovm,ZTF21abzjwhm,ZTF20acowsyj,ZTF18abxthsc,ZTFabc28841,ZTFabc72292,ZTFabc65276,ZTFabc35062,ZTF21aaoghxv,ZTFabc20092,0,347.8628,349.2992,357.5493,360.0849,389.7775,404.2041,421.0754,428.7748,428.8408,428.893,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,No_TNS,Fake,Fake,Fake,Fake,Yes_TNS,Fake,None,None,None,None,None,SN II,SN II,SN II,SN Ia,SN Ia,SN II,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0801,-99.0
ZTF20acfasbq,ZTF20acfasbq,ZTFabc22698,ZTFabc55184,ZTFabc28221,ZTFabc27727,ZTFabc34375,ZTFabc22490,ZTF20acrhrcy,ZTFabc41545,ZTFabc62481,ZTFabc92235,0,214.2619,214.7838,233.7921,239.5344,244.2394,271.9151,274.2303,277.0587,281.879,286.6604,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Yes_TNS,Fake,Fake,Fake,SN Ia,SN IIb,SN IIb,SN IIb,SN Ia,SN IIb,SN Ia,SN Ia,SN IIb,SN IIb,SN IIb,0.047,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.1,-99.0,-99.0,-99.0
ZTF20acrjjse,ZTF20acrjjse,ZTFabc76646,ZTFabc50176,ZTFabc06902,ZTF20abzhvnj,ZTFabc24187,ZTFabc37315,ZTFabc82276,ZTFabc54555,ZTFabc84448,ZTFabc01556,0,229.3784,242.0402,242.1233,243.2886,243.8117,245.3733,247.7834,248.1271,249.0782,249.8689,Yes_TNS,Fake,Fake,Fake,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,None,SN IIn,SN IIn,SN IIn,SN IIn,SN IIn,SN IIn,SN IIn,SN IIn,SN IIn,SN IIn,-99.0,-99.0,-99.0,-99.0,0.207,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21aaydlkk,ZTF21aaydlkk,ZTF21abwkamq,ZTF21abfotzm,ZTF21aazfmtb,ZTF20acpbyfl,ZTF21abjplod,ZTF21aaqebzh,ZTF18acnbfuz,ZTFabc53286,ZTFabc80979,ZTFabc48597,0,324.2539,336.0585,355.8144,359.4676,376.7734,377.6575,396.092,418.588,419.419,421.4221,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Fake,Fake,Fake,None,None,None,None,None,None,None,None,SN IIn,SN IIn,SN IIn,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21aazhivg,ZTF21aazhivg,ZTFabc12161,ZTFabc43800,ZTFabc91878,ZTFabc16759,ZTFabc69466,ZTFabc34329,ZTFabc40119,ZTFabc92078,ZTFabc79246,ZTFabc88074,0,227.5655,232.0652,232.3088,233.8572,234.2809,235.4865,237.6259,239.3996,239.9259,240.564,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,None,SN Ia,SN Ib,SN Ib,SN Ib,SN Ib,SN Ib,SN Ib,SN Ib,SN Ib,SN Ib,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21aazyiml,ZTF21aazyiml,ZTFabc66790,ZTFabc73093,ZTFabc22854,ZTFabc23556,ZTFabc16362,ZTFabc05874,ZTFabc61088,ZTFabc69393,ZTFabc07889,ZTFabc64633,0,139.9899,140.9027,141.157,141.4348,143.9062,145.0853,145.6998,145.8275,149.4589,157.8806,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,None,SN Ic-BL,SN Ic-BL,SN Ic-BL,SN Ic-BL,SN Ic-BL,SN Ic-BL,SN Ic-BL,SN Ic-BL,SN Ic-BL,SN Ic-BL,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21abexmbi,ZTF21abexmbi,ZTF19aaaicak,ZTF20acjpwdk,ZTFabc14860,ZTF21aaavhbu,ZTFabc75206,ZTFabc34442,ZTFabc46680,ZTFabc97887,ZTFabc08296,ZTF21aabxjqr,0,178.1041,277.2278,282.0889,287.0318,290.4003,297.8489,317.1939,318.1073,318.614,318.8664,Yes_TNS,Yes_TNS,Yes_TNS,Fake,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Yes_TNS,None,None,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN IIb,SN IIb,SN IIb,-99.0,-99.0,0.05,-99.0,0.0767,-99.0,-99.0,-99.0,-99.0,-99.0,0.03317803
ZTF21aawjgol,ZTF21aawjgol,ZTF21abidgin,ZTF21acjgpvq,ZTF21aadruuo,ZTF21aanyfxr,ZTFabc65086,ZTF21aaqvtcn,ZTFabc81986,ZTF21abicaaz,ZTFabc80095,ZTFabc62853,0,287.6028,351.0042,358.6309,365.4575,368.2273,381.136,383.8894,385.2906,385.9922,388.059,Yes_TNS,Yes_TNS,Yes_TNS,No_TNS,Yes_TNS,Fake,Yes_TNS,Fake,Yes_TNS,Fake,Fake,None,None,None,None,None,SN Ic,None,SN Ia,None,SN Ic,SN Ic,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF20acgnrqu,ZTF20acgnrqu,ZTFabc32262,ZTFabc13630,ZTFabc76002,ZTFabc97939,ZTFabc07261,ZTFabc51278,ZTF21aamzuxi,ZTFabc85641,ZTFabc46092,ZTFabc87763,0,145.6955,183.3265,194.1212,199.0834,206.5443,210.7789,210.9782,215.7635,216.1974,227.2667,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Yes_TNS,Fake,Fake,Fake,SN Ia,SN II,SN II,SN II,SN Ia,SN Ia,SN II,SN II,SN II,SN II,SN II,0.046,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.034,-99.0,-99.0,-99.0
ZTF18aaqdlle,ZTF18aaqdlle,ZTFabc03998,ZTFabc28273,ZTFabc32634,ZTFabc79392,ZTFabc42365,ZTFabc51778,ZTFabc16581,ZTFabc04603,ZTFabc86319,ZTFabc68680,0,240.2772,240.3196,240.5323,247.9262,250.7946,258.4689,258.9077,259.0104,259.0457,261.6832,No_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,None,SN IIn,SN IIn,SN IIn,SN IIn,SN IIn,SN IIn,SN IIn,SN IIn,SN IIn,SN IIn,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF20acdtscy,ZTF20acdtscy,ZTFabc70113,ZTFabc27727,ZTFabc22490,ZTFabc82515,ZTF20actpbck,ZTFabc39757,ZTFabc04081,ZTFabc81536,ZTFabc38566,ZTF21aafnabs,0,225.1071,274.1257,279.6509,286.5093,291.3323,294.0746,310.9747,319.7549,362.4079,369.1642,Yes_TNS,Fake,Fake,Fake,Fake,Yes_TNS,Fake,Fake,Fake,Fake,Yes_TNS,None,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,-99.0,-99.0,-99.0,-99.0,-99.0,0.06,-99.0,-99.0,-99.0,-99.0,0.087762
ZTF20acqwtks,ZTF20acqwtks,ZTFabc05903,ZTFabc31054,ZTFabc63938,ZTFabc41336,ZTFabc43582,ZTFabc58893,ZTFabc50006,ZTFabc11311,ZTFabc18800,ZTFabc55724,0,256.3576,259.5893,266.0517,266.3895,270.124,270.9894,272.938,275.7755,278.0669,280.8347,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,None,SN Ic-BL,SN Ic-BL,SN Ic-BL,SN Ic-BL,SN Ic-BL,SN Ic-BL,SN Ic-BL,SN Ic-BL,SN Ic-BL,SN Ic-BL,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21abcouig,ZTF21abcouig,ZTF21aantvqu,ZTF20acpklid,ZTF21acjdsix,ZTF18adbabqv,ZTF21aciutrj,ZTF21aaypsco,ZTF20acqlcge,ZTF21abcouoa,ZTF21aasbjgq,ZTF18acueemg,0,400.3064,451.4833,452.5294,456.5951,473.1147,524.3524,560.8538,565.7454,589.1698,593.5281,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,None,None,None,None,None,None,None,SN Ia,None,SN Ia,None,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.033,-99.0,0.08,-99.0
ZTF18abwzedh,ZTF18abwzedh,ZTFabc80628,ZTFabc15347,ZTFabc90224,ZTFabc71067,ZTFabc69726,ZTFabc23071,ZTF21aahhegg,ZTFabc69790,ZTFabc87573,ZTFabc76386,0,243.4415,258.8848,266.4251,268.0834,268.4398,271.6656,273.6504,285.0594,289.6896,292.1261,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,No_TNS,Fake,Fake,Fake,None,SN II,SN II,SN II,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,None,SN Ia-91T-like,SN II,SN Ia-91T-like,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21abkkuja,ZTF21abkkuja,ZTFabc73450,ZTFabc68477,ZTFabc39137,ZTFabc19411,ZTF21aaaoviv,ZTF20abyzoof,ZTFabc48068,ZTFabc56550,ZTFabc42032,ZTFabc58270,0,264.4609,267.3622,281.0746,300.1714,304.6885,307.5688,311.5227,320.8247,320.8962,321.5942,Yes_TNS,Fake,Fake,Fake,Fake,Yes_TNS,Yes_TNS,Fake,Fake,Fake,Fake,SN Ia,SN II,SN II,SN II,SN II,SN Ia,SN II,SN II,SN Ic,SN Ic,SN Ia,0.054164,-99.0,-99.0,-99.0,-99.0,0.065883,0.02851,-99.0,-99.0,-99.0,-99.0
ZTF21abqirla,ZTF21abqirla,ZTF21ablnjba,ZTF21aajfqxi,ZTF19aadgumh,ZTF21aaxyyaq,ZTF21acjhvaq,ZTF21aalhqhx,ZTF21abbpomb,ZTF20aazqius,ZTF21abenlno,ZTF21aarvysz,0,429.1368,469.3877,499.8827,518.3881,525.0099,547.8237,599.1954,602.8544,624.5596,628.0532,No_TNS,No_TNS,Yes_TNS,No_TNS,Yes_TNS,No_TNS,Yes_TNS,No_TNS,No_TNS,No_TNS,No_TNS,None,None,None,None,None,None,None,None,None,None,None,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF20aaurfwa,ZTF20aaurfwa,ZTF21abnvljt,ZTF21aaiblte,ZTFabc45221,ZTF20acgmqgv,ZTFabc24970,ZTFabc46341,ZTF20aclkuqh,ZTF21aasayxd,ZTFabc09099,ZTF20acorqqy,0,182.2487,336.5101,406.7379,437.3031,445.2761,463.2311,501.0112,511.6336,512.2594,533.4365,Yes_TNS,Yes_TNS,Yes_TNS,Fake,Yes_TNS,Fake,Fake,Yes_TNS,Yes_TNS,Fake,Yes_TNS,SN IIn,None,None,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,None,SN Ia,None,0.0935,-99.0,-99.0,-99.0,0.08,-99.0,-99.0,0.03,-99.0,-99.0,-99.0
ZTF21acculro,ZTF21acculro,ZTF21aaqarsw,ZTFabc95177,ZTF21aapkaqi,ZTFabc33690,ZTF21aaglcat,ZTF21abctgpz,ZTF21abdwpzy,ZTF21aasaxdk,ZTF21abqvzbi,ZTFabc68624,0,376.631,425.3179,431.2743,431.8895,438.7571,455.1559,455.6185,455.6848,457.2653,474.6127,Yes_TNS,Yes_TNS,Fake,Yes_TNS,Fake,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Fake,None,None,SN Ia,None,SN Ia,None,None,None,SN Ia,None,SN II,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0875,-99.0,-99.0
ZTF21abkoqic,ZTF21abkoqic,ZTF21abecouz,ZTFabc75732,ZTF21abchdql,ZTFabc52703,ZTFabc61121,ZTFabc82343,ZTF21aapkzqg,ZTFabc20417,ZTFabc57103,ZTFabc95714,0,194.7846,247.1429,254.2209,277.5669,288.4049,289.1862,311.1359,334.905,335.4478,338.7545,Yes_TNS,Yes_TNS,Fake,Yes_TNS,Fake,Fake,Fake,Yes_TNS,Fake,Fake,Fake,None,None,SN Ia,SN Ia,SN II,SN II,SN II,None,SN II,SN II,SN II,-99.0,-99.0,-99.0,0.083,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF20acwsaud,ZTF20acwsaud,ZTFabc06307,ZTFabc07555,ZTFabc13931,ZTFabc20869,ZTFabc60612,ZTFabc31539,ZTFabc00180,ZTFabc61030,ZTFabc52058,ZTFabc68744,0,152.451,156.4896,158.1266,159.7525,163.4574,165.0489,167.9651,170.7576,170.9228,171.2184,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,None,SN IIb,SN IIb,SN IIb,SN IIb,SN IIb,SN IIb,SN IIb,SN Ic,SN Ic,SN IIb,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21aakigqr,ZTF21aakigqr,ZTFabc03045,ZTF20aczeagg,ZTFabc18671,ZTF21abhtaiv,ZTF20acxcxkz,ZTFabc49063,ZTFabc68335,ZTFabc52828,ZTFabc71255,ZTFabc41396,0,318.1933,319.7556,326.5232,327.1842,335.0954,336.0507,338.0555,338.5688,339.1384,339.7077,Yes_TNS,Fake,Yes_TNS,Fake,Yes_TNS,Yes_TNS,Fake,Fake,Fake,Fake,Fake,SN II,SN II,None,SN II,SN Ia,SN Ia,SN II,SN II,SN II,SN Ia,SN IIn,0.066866,-99.0,-99.0,-99.0,0.081,0.055,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF20abqlmwn,ZTF20abqlmwn,ZTFabc94277,ZTFabc15584,ZTFabc17612,ZTF18aansqom,ZTFabc19636,ZTF21abbzncx,ZTFabc01166,ZTFabc88785,ZTFabc52415,ZTFabc85026,0,249.2253,250.4972,258.6433,261.2069,261.297,266.0746,268.5771,269.7788,273.2001,273.4508,Yes_TNS,Fake,Fake,Fake,Yes_TNS,Fake,Yes_TNS,Fake,Fake,Fake,Fake,SN II,SN Ia,SN Ia-91T-like,SN Ia-91T-like,SN Ia,SN Ia-91T-like,None,SN Ia-91T-like,SN Ia-91T-like,SN Ia,SN Ia-91T-like,0.025,-99.0,-99.0,-99.0,0.03,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
